Segment,WC,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male
1,811,14.92,7.52,0.99,0.25,0.12,1.6,2.96,7.27,0,0,2.34,0
1,1198,11.94,6.93,2,0.5,0.08,0.08,3.26,4.92,0,0,0.58,0
1,766,11.49,4.96,1.44,0.13,0,0.39,1.44,6.27,0,0.13,0.52,0
1,325,15.69,8.62,1.85,0.31,0,0.62,4.31,7.08,0,0,1.85,0
1,236,17.8,10.17,2.54,0.42,0,0.42,2.54,7.63,0,0,2.12,0
1,156,21.79,14.74,4.49,2.56,0,0.64,2.56,8.33,0,0,1.28,0
1,311,13.5,6.11,1.93,0.32,0,0.32,2.57,6.43,0,0,0.32,0
1,1001,10.29,5.09,1.1,0.1,0.1,0.5,1.7,5,0,0,0.5,0
1,659,15.63,8.5,4.25,0.61,0.15,0.76,0.91,9.56,0,0,0.15,0
1,1762,11.01,5.45,1.59,0.45,0.11,0.28,1.59,5.56,0.06,0,0.74,0
1,670,12.39,6.57,2.24,0.75,0.15,0,1.94,6.57,0,0.15,0.75,0
1,825,13.82,7.39,1.58,0.12,0,0.36,3.52,6.55,0,0,0.85,0
1,518,16.41,9.65,2.32,0.77,0.39,0.19,4.44,7.34,0,0,0.77,0
1,477,10.48,4.82,1.05,0.63,0,0.21,1.89,4.82,0,0,0,0
1,593,12.48,6.41,2.02,0.34,0,0.51,2.36,5.73,0,0,1.01,0
1,479,12.94,6.68,2.92,0.63,0.21,0.21,1.46,6.26,0,0,1.46,0
1,970,11.24,5.36,0.82,0.41,0,0.1,2.37,6.19,0,0,0.21,0
1,383,12.01,5.22,1.31,0.26,0,0,1.83,6.53,0,0,2.35,0.26
1,74,25.68,14.86,5.41,2.7,0,0,4.05,10.81,0,0,4.05,0
1,448,15.18,9.38,2.46,0.45,0,0.67,5.36,5.8,0,0,1.12,0
1,203,17.73,7.88,2.46,1.48,0,0.49,1.97,10.34,0,0,3.45,0
1,965,12.75,5.7,0.73,0.52,0.21,0,2.38,6.53,0,0,1.87,0
1,499,15.63,10.62,3.01,0.4,0.8,0.8,3.21,5.21,0,0.2,0,0.8
1,199,17.59,13.07,4.02,0.5,2.01,1.51,3.52,5.53,0,0,0,1.51
