Social,tone_pos,prosocial,Clout,Cognition,cogproc,allnone,emo_pos,emo_neg,Analytic,Drives,achieve,Segment,Linguistic
15.92,3.12,1.11,41.39,18.37,17.15,1.11,0.89,0.89,54.61,4.79,1.34,1,69.6
15.14,3.87,2.46,54.76,16.2,13.73,2.46,0.35,1.06,54.29,2.82,0,1,68.66
15.51,1.63,2.45,28.8,15.92,13.88,1.63,0,0,42.12,6.12,2.04,1,65.71
11.97,1.82,0.91,41.85,16.82,16.06,0.76,0.15,0.61,63.62,3.94,1.67,1,65.15
11.81,4.72,2.76,23.4,16.93,16.54,0.39,0.79,0.79,70.52,4.33,1.97,1,68.11
18.3,3.35,1.93,69.34,17.4,15.98,1.42,1.03,0.26,31.1,5.67,0.52,1,67.78
16.09,2.3,1.92,37.84,19.16,18.39,0.77,0.77,0.77,35.51,4.6,1.15,1,66.28
16.5,1.02,1.02,87.75,19.04,17.77,1.27,0,0.25,33.08,5.58,0.76,1,68.02
12.07,4.48,1.72,26.93,14.14,11.72,2.41,1.72,0.69,60.35,3.1,1.72,1,65.52
15.15,4.04,2.02,42.05,17.85,17.51,0.34,0.67,0.67,53.25,2.36,0.34,1,68.01
14.95,3.99,1.99,42.02,17.61,17.28,0.33,0.66,0.66,53.87,2.33,0.33,1,67.11
14.97,4.28,3.21,33.98,17.65,17.11,0.53,1.07,0,62.67,2.67,0.53,1,60.96
14.92,3.7,0.99,48.85,14.55,13.32,1.23,0.62,0.49,59.72,4.69,0.99,1,67.94
11.94,3.76,2,27.74,15.69,14.27,1.25,1,0.17,68.78,2.5,0.67,1,58.35
11.49,3.39,1.44,47.8,13.19,12.4,0.78,1.17,0.13,76.46,3.39,1.44,1,50.13
15.69,2.15,1.85,38.28,17.23,16,1.23,0.31,0,66.97,3.08,0.62,1,65.54
17.8,0.85,2.54,60.23,14.41,12.29,2.12,0,0.85,69.74,2.54,0.42,1,57.2
21.79,5.13,4.49,84.23,14.74,14.1,0.64,0,0,85.57,6.41,0.64,1,62.18
13.5,3.54,1.93,57.32,15.76,15.11,0.64,0.64,0.32,70.85,4.5,1.61,1,62.38
10.29,2.5,1.1,38.32,13.59,12.89,0.7,0.5,0.2,82.57,3.9,1.5,1,51.55
15.63,3.95,4.25,57.26,15.63,14.87,0.76,0.91,0.46,66.54,9.1,2.73,1,66.16
11.01,4.37,1.59,36.15,16.74,15.55,1.02,1.25,0.34,69.69,3.58,1.02,1,61.12
12.39,4.18,2.24,56.98,15.97,15.07,0.9,1.04,0.3,46.36,4.48,1.19,1,67.31
13.82,3.15,1.58,31.91,16.12,13.58,2.55,0.12,0.36,49.49,6.3,2.18,1,65.33
16.41,3.86,2.32,41.21,16.99,14.48,2.51,0.97,0.97,36.14,3.67,0.77,1,67.76
10.48,5.24,1.05,43.77,16.98,15.51,1.47,1.47,0,44.95,2.73,1.47,1,64.15
12.48,4.05,2.02,25.52,15.01,14,1.01,1.18,0.34,66.9,3.37,1.69,1,63.24
12.94,5.22,2.92,63.53,11.69,10.86,0.84,1.88,0.63,71.73,2.3,0.63,1,65.34
11.24,2.58,0.82,33.08,17.63,17.01,0.62,0.52,0.21,77.73,3.09,1.34,1,56.49
